Youtube,#genre#
凤凰资讯台,https://www.youtube.com/watch?v=Z0jfJm2L7Rc
ABC News Australia,https://www.youtube.com/watch?v=vOTiJkg1voo
ABC News,https://www.youtube.com/watch?v=gN0PZCe-kwQ
Al Jazeera,https://www.youtube.com/watch?v=gCNeDWCI0vo
CCTV中文国际,https://www.youtube.com/watch?v=bEZYrBMYNNg
CNN-News18,https://www.youtube.com/watch?v=lndz_1r-3HI
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
DW,https://www.youtube.com/watch?v=pqabxBKzZ6M
Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
FRANCE 24,https://www.youtube.com/watch?v=tkDUSYHoKxE
NBC NEW,https://www.youtube.com/watch?v=LWLINjU6u_U
NHK WORLD,https://www.youtube.com/watch?v=f0lYkdA-Gtw
Sky News,https://www.youtube.com/watch?v=w9uJg68CV4g
TaiwanPlus,https://www.youtube.com/watch?v=ovzTfk5CmIE
TVBS 56,https://www.youtube.com/watch?v=YvdcZ_jpLXE
TVBS Live,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS NEWS,https://www.youtube.com/watch?v=rBlwOL1pox8
WION,https://www.youtube.com/watch?v=CpNOx3C9d6w
东森财经,https://www.youtube.com/watch?v=WHEPzbFA3hw
东森新闻,https://www.youtube.com/watch?v=2dfAzcDf8Zg
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
寰宇新闻,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇台湾,https://www.youtube.com/watch?v=w87VGpgd90U
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
民视新闻,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立海外,https://www.youtube.com/watch?v=FoBfXvlOR6I
三立live,https://www.youtube.com/watch?v=oZdzzvxTfUY
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
中视新闻,https://www.youtube.com/watch?v=nPjK8ANypzs
中天新闻,https://www.youtube.com/watch?v=ufYz0VkknE4
中天新闻台湾,https://www.youtube.com/watch?v=oIgbl7t0S_w


IPV4,#genre#
凤凰电影,http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA
凤凰电影,https://epg.pw/stream/9ed301e39bb8ca159e243f22b480bf96dd911e48e89709a29959a5aab65608cf.ctv
凤凰香港,http://60.164.228.34:4040/udp/239.255.30.123:8231
凤凰香港,https://0472.org/hls/youzaiSB/fhhk.m3u8
凤凰香港,https://epg.pw/stream/27b49ba568efc8dcc9af6a79ec06ffd4a2e354e3e2060143be83fca695edf46e.m3u8
凤凰中文,http://60.164.228.34:4040/udp/239.255.30.50:8231
凤凰中文,https://0472.org/hls/youzaiSB/fhzw.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://60.164.228.34:4040/udp/239.255.30.70:8231
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,https://0472.org/hls/youzaiSB/fhzx.m3u8
